player_id,nombre,liga,eventos_total,tiros,tiros_a_puerta,goles,penales_tirados,penales_metidos,tiros_fuera_area,tiros_fuera_a_puerta,goles_fuera_area,tiros_area_grande,goles_area_grande,tiros_area_pequena,goles_area_pequena,tiros_cabeza,goles_cabeza,tiros_pie_izq,goles_pie_izq,tiros_pie_der,goles_pie_der,tiros_falta_directa,goles_falta_directa,tiros_tras_cruce,goles_tras_cruce,tiros_bloqueados,regates_intentados,regates_exitosos,regates_ultimo_tercio,regates_ultimo_tercio_ok,pases_clave,pases_clave_desde_cruce,pases_asistencia,recuperaciones_total,recuperaciones_ultimo_tercio,recuperaciones_zona_baja,entradas_total,entradas_exitosas,entradas_ultimo_tercio,intercepciones_total,intercepciones_zona_baja,aereos_total,aereos_ganados,distancia_promedio_tiro,acierto_tiros_fuera_pct,puerta_tiros_fuera_pct,pct_goles_desde_fuera,pct_tiros_desde_fuera,pct_tiros_pie_izq,pct_tiros_pie_der,pct_tiros_cabeza,pct_regates_exito,pct_aereos_ganados,pct_entradas_exitosas,xg,g_menos_xg
331ldsgfczdez72awl2h22vl6,S. Ramos Mingo,Argentina,5398,39,18,4,2,0,3,2,0,28,2,8,2,31,3,3,0,0,0,0,0,37,3,18,20,12,4,1,12,0,0,182,1,168,79,47,0,80,66,317,211,32.9,0.0,66.7,0.0,7.7,7.7,0.0,79.5,60.0,66.6,59.5,7.26,-3.26
7tdf1plmyiawglrequijsokb9,G. Campi,Ecuador,4724,27,13,4,1,0,5,2,0,15,1,7,3,15,2,4,1,0,0,0,0,20,4,14,9,8,2,2,7,0,0,211,1,191,76,54,1,103,88,238,169,25.2,0.0,40.0,0.0,18.5,14.8,0.0,55.6,88.9,71.0,71.1,4.64,-0.64
etfoa7t308eq1xdmo9m2gfcgl,J. Tverskov,MLS,4685,22,12,2,1,0,5,1,0,10,2,7,0,11,1,4,1,5,0,0,0,16,1,11,37,21,14,7,45,0,0,284,28,190,75,54,6,75,47,71,48,34.7,0.0,20.0,0.0,22.7,18.2,22.7,50.0,56.8,67.6,72.0,3.99,-1.99
edzmmm9gdaqur1zx3fxxkjw15,J. Pereyra,Argentina,4432,109,78,8,3,0,70,49,4,33,2,6,2,1,0,15,2,6,1,6,0,32,4,74,194,71,95,36,119,0,0,273,37,185,109,55,9,35,22,72,28,21.7,5.7,70.0,50.0,64.2,13.8,5.5,0.9,36.6,38.9,50.5,10.88,-2.88
1g7yu60q1d52ihwhqdlfc6zft,C. Rivera,Brasil A,4403,23,18,5,2,0,13,8,0,9,5,1,0,0,0,9,5,14,0,0,0,7,0,13,43,25,7,4,24,0,0,307,12,217,164,109,4,46,31,73,48,25.8,0.0,61.5,0.0,56.5,39.1,60.9,0.0,58.1,65.8,66.5,3.5,1.5
18ab84gmpueg9zxphj7f0kx61,E. Díaz,Argentina,4345,25,14,0,1,0,13,8,0,11,0,1,0,3,0,1,0,0,0,1,0,9,0,16,75,28,31,13,58,0,0,217,7,176,146,100,5,49,38,111,64,32.8,0.0,61.5,0.0,52.0,4.0,0.0,12.0,37.3,57.7,68.5,2.97,-2.97
424m79hmlwpvzdhjvp3jxa4iy,G. Benavídez,Argentina,4283,39,21,4,6,0,6,5,1,24,1,9,2,20,2,4,0,13,1,0,0,30,3,21,47,20,20,9,64,0,0,203,7,164,104,73,7,48,41,73,41,27.4,16.7,83.3,25.0,15.4,10.3,33.3,51.3,42.6,56.2,70.2,10.27,-6.27
d0i1966prhts3s8asyw0vvpm2,J. Fory,Colombia,4228,21,16,0,0,0,6,4,0,13,0,2,0,6,0,1,0,1,0,0,0,9,0,16,45,25,13,6,37,0,0,205,5,175,79,54,4,61,49,172,114,27.0,0.0,66.7,0.0,28.6,4.8,4.8,28.6,55.6,66.3,68.4,2.4,-2.4
39jm4kqpivtp1smet20be67mc,N. Romero,Argentina,4226,42,18,2,3,0,14,6,2,23,0,5,0,16,0,8,1,1,0,0,0,25,0,22,28,17,4,1,12,0,0,225,9,196,73,41,1,65,63,245,151,33.2,14.3,42.9,100.0,33.3,19.0,2.4,38.1,60.7,61.6,56.2,7.11,-5.11
287fodtg3sbi6enk4lp5gkt79,R. Echeverría,Argentina,4094,40,27,7,2,0,11,6,3,24,3,5,1,17,2,9,2,12,2,2,1,36,6,24,39,21,7,4,38,0,0,282,8,214,129,96,9,61,43,180,102,24.1,27.3,54.5,42.9,27.5,22.5,30.0,42.5,53.8,56.7,74.4,6.33,0.67
2y2trc5vf2vff26pqhidefpih,C. McVey,MLS,4032,22,15,3,1,0,7,5,1,12,1,3,1,10,2,5,0,6,1,0,0,14,2,13,18,12,3,3,8,0,0,185,1,165,60,41,2,33,30,87,50,23.7,14.3,71.4,33.3,31.8,22.7,27.3,45.5,66.7,57.5,68.3,3.35,-0.35
a1fpyphm0e0quxdxut86cf3rp,L. Vásquez,Colombia,4008,28,16,1,3,0,13,7,1,13,0,2,0,6,0,5,0,16,1,0,0,14,1,16,30,18,2,1,37,0,0,292,7,232,126,87,4,44,33,131,70,27.1,7.7,53.8,100.0,46.4,17.9,57.1,21.4,60.0,53.4,69.0,5.05,-4.05
99wq2j7ed0p6lqcjaljppao7o,G. Nardelli,Ecuador,3999,24,13,4,4,0,6,4,1,14,2,4,1,15,2,3,2,4,0,0,0,18,2,15,20,13,1,0,15,0,0,189,1,173,59,39,2,42,33,196,117,23.8,16.7,66.7,25.0,25.0,12.5,16.7,62.5,65.0,59.7,66.1,6.18,-2.18
3sxrpgl7h4szvwv9en59oe09h,J. Zuluaga,Colombia,3954,60,41,6,4,0,30,20,0,28,6,2,0,10,2,15,3,33,1,2,1,24,5,39,56,34,24,13,69,0,0,252,18,173,82,52,7,55,26,96,46,22.8,0.0,66.7,0.0,50.0,25.0,55.0,16.7,60.7,47.9,63.4,8.45,-2.45
acf6pei9r5u690f57g1x567tg,E. Mancuso,Argentina,3881,58,41,6,4,0,33,19,2,22,3,3,1,3,1,10,1,41,3,4,0,17,2,36,81,37,48,18,60,0,0,226,11,188,113,74,6,46,37,64,24,23.9,6.1,57.6,33.3,56.9,17.2,70.7,5.2,45.7,37.5,65.5,8.04,-2.04
db577bjolzoe667vshy7pmwut,C. Aquino,Argentina,3829,100,60,9,4,0,66,36,4,32,5,2,0,3,0,17,5,76,4,6,1,33,2,51,136,74,62,30,128,0,0,202,21,118,43,25,5,8,2,41,24,29.1,6.1,54.5,44.4,66.0,17.0,76.0,3.0,54.4,58.5,58.1,10.4,-1.4
bpzd4hwe8nnydxmfamp5oaaqx,A. Palavecino,Argentina,3800,115,76,8,4,0,83,54,6,28,2,4,0,2,0,13,1,95,6,4,0,26,2,72,99,49,48,20,91,0,0,268,32,163,99,67,9,40,24,66,24,21.9,7.2,65.1,75.0,72.2,11.3,82.6,1.7,49.5,36.4,67.7,11.06,-3.06
