player_id,nombre,minutos,tirador_lejano_pts,tirador_lejano_medalla,cabeceador_pts,cabeceador_medalla,recuperador_puro_pts,recuperador_puro_medalla,presionador_alto_pts,presionador_alto_medalla,definidor_pts,definidor_medalla,creador_pts,creador_medalla,desequilibrante_pts,desequilibrante_medalla,muro_pts,muro_medalla,motor_pts,motor_medalla,goles,pases_clave,regates_exitosos,aereos_ganados,tiros_fuera,goles_fuera,acierto_fuera_pct,goles_cabeza,aereos_pct,aereos_total,recuperaciones_total,recuperaciones_baja,recuperaciones_alto
331ldsgfczdez72awl2h22vl6,S. Ramos Mingo,1979,0,,90,ORO,70,PLATA,20,,10,,0,,43,BRONCE,60,PLATA,77,ORO,4,12,12,211,3,0,0.0,3,66.6,317,182,168,1
7tdf1plmyiawglrequijsokb9,G. Campi,2575,0,,77,ORO,80,ORO,20,,20,,0,,0,,80,ORO,77,ORO,4,7,8,169,5,0,0.0,2,71.0,238,211,191,1
etfoa7t308eq1xdmo9m2gfcgl,J. Tverskov,3380,0,,53,PLATA,57,PLATA,47,BRONCE,0,,60,PLATA,57,PLATA,57,PLATA,57,PLATA,2,45,21,48,5,0,0.0,1,67.6,71,284,190,28
1g7yu60q1d52ihwhqdlfc6zft,C. Rivera,2734,13,,20,,37,BRONCE,30,BRONCE,40,BRONCE,20,,47,BRONCE,47,BRONCE,80,ORO,5,24,25,48,13,0,0.0,0,65.8,73,307,217,12
424m79hmlwpvzdhjvp3jxa4iy,G. Benavídez,2060,20,,57,PLATA,47,BRONCE,30,BRONCE,10,,100,ORO,23,,27,,77,ORO,4,64,20,41,6,1,16.7,2,56.2,73,203,164,7
d0i1966prhts3s8asyw0vvpm2,J. Fory,1195,10,,30,BRONCE,70,PLATA,40,BRONCE,0,,67,PLATA,57,PLATA,60,PLATA,100,ORO,0,37,25,114,6,0,0.0,0,66.3,172,205,175,5
39jm4kqpivtp1smet20be67mc,N. Romero,2129,33,BRONCE,40,BRONCE,70,PLATA,20,,0,,0,,43,BRONCE,50,PLATA,80,ORO,2,12,17,151,14,2,14.3,0,61.6,245,225,196,9
287fodtg3sbi6enk4lp5gkt79,R. Echeverría,2154,43,BRONCE,57,PLATA,80,ORO,50,PLATA,30,BRONCE,53,PLATA,47,BRONCE,50,PLATA,100,ORO,7,38,21,102,11,3,27.3,2,56.7,180,282,214,8
2y2trc5vf2vff26pqhidefpih,C. McVey,3304,10,,47,BRONCE,13,,10,,10,,0,,13,,27,,13,,3,8,12,50,7,1,14.3,2,57.5,87,185,165,1
99wq2j7ed0p6lqcjaljppao7o,G. Nardelli,2777,10,,57,PLATA,37,BRONCE,10,,20,,20,,43,BRONCE,50,PLATA,23,,4,15,13,117,6,1,16.7,2,59.7,196,189,173,1
3sxrpgl7h4szvwv9en59oe09h,J. Zuluaga,1328,50,PLATA,47,BRONCE,70,PLATA,100,ORO,20,,100,ORO,90,ORO,27,,100,ORO,6,69,34,46,30,0,0.0,2,47.9,96,252,173,18
db577bjolzoe667vshy7pmwut,C. Aquino,2137,40,BRONCE,10,,13,,47,BRONCE,20,,100,ORO,90,ORO,23,,27,,9,128,74,24,66,4,6.1,0,58.5,41,202,118,21
bpzd4hwe8nnydxmfamp5oaaqx,A. Palavecino,1469,40,BRONCE,0,,60,PLATA,100,ORO,20,,100,ORO,80,ORO,13,,100,ORO,8,91,49,24,83,6,7.2,0,36.4,66,268,163,32
733ho2s9aqwwxzbqfiia3b7bp,Álvaro Fidalgo,1741,13,,13,,37,BRONCE,57,PLATA,40,BRONCE,100,ORO,80,ORO,0,,70,PLATA,8,66,50,11,14,1,7.1,1,42.3,26,229,145,15
7ka0c0gm382nt1vhccu787g15,W. Ditta,1890,0,,20,,60,PLATA,30,BRONCE,0,,0,,23,,50,PLATA,70,PLATA,0,14,12,61,8,0,0.0,0,62.9,97,214,179,3
3w14rgqjh2jmrfib07kf17hpm,S. Sosa,2011,33,BRONCE,63,PLATA,70,PLATA,20,,0,,20,,13,,70,PLATA,77,ORO,2,22,12,179,9,1,11.1,1,72.8,246,183,155,3
82much0n660qblstuogftp6hg,É. Ocampo,2656,40,BRONCE,0,,23,,20,,20,,73,PLATA,80,ORO,37,BRONCE,33,BRONCE,6,46,50,40,31,3,9.7,0,46.5,86,184,140,15
9fz4lzq3u50914qgqhkuvydpl,M. Falcón,1746,0,,47,BRONCE,70,PLATA,20,,10,,0,,33,BRONCE,40,BRONCE,67,PLATA,3,0,12,65,1,0,0.0,2,50.4,129,165,145,0
cetheafhl2xplr6lfkwj8pyw9,Y. Guzmán,2235,40,BRONCE,13,,20,,37,BRONCE,80,ORO,100,ORO,23,,20,,13,,18,115,19,8,61,3,4.9,1,23.5,34,147,84,20
calrbl0kagr6zgnw2l8k626s5,Sergio Busquets,3410,0,,0,,0,,30,BRONCE,0,,40,BRONCE,10,,13,,23,,0,37,10,32,0,0,0.0,0,51.6,62,211,130,15
18s2n8aw3e340gclsku4yyxnt,K. Wagner,3039,33,BRONCE,20,,33,BRONCE,30,BRONCE,0,,100,ORO,57,PLATA,57,PLATA,43,BRONCE,2,103,21,53,14,2,14.3,0,66.2,80,177,141,13
5m5qyz18o5hmta6mh4zk57sh5,S. Ascacíbar,1926,27,,47,BRONCE,60,PLATA,53,PLATA,20,,53,PLATA,43,BRONCE,40,BRONCE,90,ORO,6,32,20,73,25,2,8.0,2,52.1,140,238,184,14
71fvqt5u686umgs8bf4vtay8l,Thiago Martins,3148,0,,30,BRONCE,23,,0,,10,,0,,0,,60,PLATA,13,,3,1,4,64,3,1,33.3,0,61.5,104,174,170,0
72iwfx341m0dna713ait8lzv9,E. Gómez,2098,20,,60,PLATA,50,PLATA,50,PLATA,30,BRONCE,20,,47,BRONCE,40,BRONCE,70,PLATA,4,19,29,61,8,1,12.5,3,45.5,134,229,192,11
1n0l8r7kj88y4k7tfaolsrkkp,C. Roldan,2903,47,BRONCE,20,,23,,33,BRONCE,0,,40,BRONCE,57,PLATA,27,,33,BRONCE,1,36,28,55,17,1,5.9,0,56.1,98,201,127,19
18l7jx01fu0eakkzrxj2moct1,Léo Pereira,2956,0,,37,BRONCE,10,,0,,10,,20,,0,,37,BRONCE,0,,4,15,4,51,3,0,0.0,2,54.8,93,129,113,1
6lhki0fcdh5sl6d89u8y0l87p,P. Díaz,1827,20,,53,PLATA,80,ORO,20,,10,,0,,0,,60,PLATA,67,PLATA,3,9,5,104,8,1,12.5,1,61.9,168,166,145,1
dmtsbln16ttjoymm2rqfuyw2x,C. Rodríguez,1588,27,,0,,37,BRONCE,57,PLATA,0,,100,ORO,57,PLATA,0,,60,PLATA,0,93,31,8,19,0,0.0,0,28.6,28,199,123,17
2tkxcerii2jbn6jt7wyyuxvpx,V. Cantillo,1431,37,BRONCE,0,,80,ORO,43,BRONCE,0,,53,PLATA,33,BRONCE,37,BRONCE,100,ORO,0,27,14,38,22,0,0.0,0,55.9,68,198,137,11
f5bjzvd4pzov6bl2geuhmlwbt,G. Lodico,2176,27,,0,,50,PLATA,43,BRONCE,0,,87,ORO,57,PLATA,0,,60,PLATA,1,64,32,14,25,0,0.0,0,31.8,44,278,195,14
75079gtd2efpviyo605ozsd79,Sergio Canales,1360,50,PLATA,13,,13,,70,PLATA,67,PLATA,100,ORO,70,PLATA,0,,40,BRONCE,17,88,33,6,66,5,7.6,1,30.0,20,156,79,34
5hjkyevqygoz216eavxkrh3bo,G. Luján,1326,0,,20,,60,PLATA,30,BRONCE,0,,0,,33,BRONCE,40,BRONCE,90,ORO,0,9,17,64,4,0,0.0,0,57.1,112,160,136,7
bb31x0lmvx07e83d344y8byay,J. Haak,3460,0,,37,BRONCE,23,,0,,10,,0,,33,BRONCE,27,,10,,4,14,19,41,5,1,20.0,2,50.6,81,166,141,5
