jugador,anio_llegada,edad_llegada,nacionalidad,club_anterior,liga_anterior,posicion,minutos_previos,coste_meur,coste_venta_meur,salario_anual_meur,anios_en_club,sigue_en_club,titulos_ganados,n_titulos_mayores,etiqueta,razon_principal,observacion
Avilés Hurtado,2017,30,Colombia,Club Tijuana,México,Desconocido,0,7.13,0.0,0,5,False,Copa MX Apertura 2017; Apertura 2019 (Liga MX); Copa MX 2019-20; Concachampions 2021,2,fallido,"Coste 7.1ME, recupero solo 0%",Comprado por 7.1me. salio sin coste a pachuca
Jonathan Urretaviscaya,2017,27,Uruguay,Pachuca,España,Desconocido,0,5.88,0.0,0,3,False,Copa MX Apertura 2017; Apertura 2019 (Liga MX); Copa MX 2019-20,1,fallido,"Coste 5.9ME, recupero solo 0%",Comprado por 5.9me. salio sin coste a peñarol
Jorge Benítez,2017,24,Paraguay,Cruz Azul,México,Desconocido,0,5.5,0.0,0,2,False,Copa MX Apertura 2017,0,fallido,"Coste 5.5ME, recupero solo 0%",Comprado por 5.5me. salio sin coste a cerro porteño
Leonel Vangioni,2017,30,Argentina,AC Milan,Italia,Desconocido,0,1.7,0.0,0,4,False,Copa MX Apertura 2017; Apertura 2019 (Liga MX); Copa MX 2019-20,1,neutro,Sin datos suficientes,Comprado por 1.7me. salio sin coste a sin equipo
Pedro Aquino,2017,22,Perú,Sport. Cristal,Perú,Desconocido,0,0.9,0.0,0,1,False,Copa MX Apertura 2017,0,neutro,Solo 1 temporada,Comprado por 0.9me. salio sin coste a lobos buap
Lucas Albertengo,2017,27,Argentina,Independiente,Italia,Desconocido,0,0.0,0.0,0,2,False,Copa MX Apertura 2017,0,neutro,Retorno de cesion (no es fichaje real),Salio sin coste a independiente
Juan Pablo Carrizo,2017,33,Argentina,Inter,Italia,Desconocido,0,0.0,0.0,0,2,False,Copa MX Apertura 2017,0,neutro,Coste bajo,Llego libre. salio sin coste a cerro porteño
Marco Bueno,2017,23,México,Pachuca,México,Desconocido,0,0.0,0.0,0,1,False,Copa MX Apertura 2017,0,neutro,Retorno de cesion (no es fichaje real),Salio sin coste a pachuca
Antonio Portales,2017,21,México,Monterrey U19,México,Desconocido,0,0.0,0.0,0,2,False,Copa MX Apertura 2017,0,neutro,Coste bajo,Salio sin coste a san luis
Julio Cruz,2017,22,México,Raya2,México,Desconocido,0,0.0,0.0,0,2,False,Copa MX Apertura 2017,0,neutro,Coste bajo,Salio sin coste a cartaginés
Juan Álvarez,2017,21,México,Monterrey U19,México,Desconocido,0,0.0,0.0,0,2,False,Copa MX Apertura 2017,0,neutro,Coste bajo,Salio sin coste a monterrey ii
Jonathan González,2017,18,México,Monterrey U19,Estados Unidos,Desconocido,0,0.0,0.0,0,5,False,Copa MX Apertura 2017; Apertura 2019 (Liga MX); Copa MX 2019-20; Concachampions 2021,2,exitoso,"Gano Copa MX Apertura 2017, llego libre (5 anios)",Salio sin coste a necaxa
Stefan Medina,2017,25,Colombia,Pachuca,México,Desconocido,0,0.0,0.0,0,8,True,Copa MX Apertura 2017; Apertura 2019 (Liga MX); Copa MX 2019-20; Concachampions 2021,2,neutro,Retorno de cesion (no es fichaje real),Sigue en el club
Neri Cardozo,2017,30,Argentina,Querétaro FC,México,Desconocido,0,0.0,0.0,0,1,False,Copa MX Apertura 2017,0,neutro,Retorno de cesion (no es fichaje real),Salio sin coste a racing
Efraín Velarde,2017,31,México,Toluca,México,Desconocido,0,0.0,0.0,0,2,False,Copa MX Apertura 2017,0,neutro,Retorno de cesion (no es fichaje real),Salio sin coste a morelia
Hiram Mier,2017,28,México,Querétaro FC,México,Desconocido,0,0.0,0.0,0,1,False,Copa MX Apertura 2017,0,neutro,Retorno de cesion (no es fichaje real),Salio sin coste a querétaro fc
Leobardo López,2017,33,México,Tiburones Rojos,México,Desconocido,0,0.0,0.0,0,1,False,Copa MX Apertura 2017,0,neutro,Retorno de cesion (no es fichaje real),Salio sin coste a celaya
Alberth Elis,2017,21,Honduras,Houston,Estados Unidos,Desconocido,0,0.0,2.2,0,1,False,Copa MX Apertura 2017,0,neutro,Retorno de cesion (no es fichaje real),Vendido por 2.2me a houston
Luis Madrigal,2017,24,México,Min. Zacatecas,México,Desconocido,0,0.0,0.0,0,1,False,Copa MX Apertura 2017,0,neutro,Retorno de cesion (no es fichaje real),Salio sin coste a oaxaca
Gerardo Moreno,2017,23,México,Tampico Madero,México,Desconocido,0,0.0,0.0,0,1,False,Copa MX Apertura 2017,0,neutro,Retorno de cesion (no es fichaje real),Salio sin coste a cimarrones
Alejandro Berber,2017,29,México,Zacatepec,México,Desconocido,0,0.0,0.0,0,1,False,Copa MX Apertura 2017,0,neutro,Retorno de cesion (no es fichaje real),Salio sin coste a fc juárez
Juan de Díos Ibarra,2017,38,México,Club Puebla,México,Desconocido,0,0.0,0.0,0,1,False,Copa MX Apertura 2017,0,neutro,Retorno de cesion (no es fichaje real),Salio sin coste a retirado
Rodolfo Pizarro,2018,24,México,Chivas,México,Desconocido,0,14.5,10.91,0,2,False,Apertura 2019 (Liga MX); Copa MX 2019-20,1,fallido,Coste alto (14.5ME) revendido en 2 anio(s) al 75%,Comprado por 14.5me. vendido por 10.9me a inter miami
Maximiliano Meza,2018,26,Argentina,Independiente,Argentina,Desconocido,0,13.15,1.8,0,7,False,Apertura 2019 (Liga MX); Copa MX 2019-20; Concachampions 2021,2,fallido,"Coste 13.2ME, recupero solo 14%",Comprado por 13.2me. vendido por 1.8me a river plate
Jesús Gallardo,2018,23,México,Pumas UNAM,México,Desconocido,0,5.15,4.7,0,7,False,Apertura 2019 (Liga MX); Copa MX 2019-20; Concachampions 2021,2,exitoso,Recupero 91% tras 7 anios,Comprado por 5.2me. vendido por 4.7me a toluca
Miguel Layún,2018,30,México,Villarreal,España,Desconocido,0,4.0,0.0,0,4,False,Apertura 2019 (Liga MX); Copa MX 2019-20; Concachampions 2021,2,fallido,"Coste 4.0ME, recupero solo 0%",Comprado por 4.0me. salio sin coste a cf américa
Adam Bareiro,2018,22,Paraguay,Nacional,Paraguay,Desconocido,0,2.0,0.0,0,2,False,Apertura 2019 (Liga MX); Copa MX 2019-20,1,fallido,"Coste 2.0ME, salio libre/cesion en 2 anios",Comprado por 2.0me. salio sin coste a san lorenzo
Marcelo Barovero,2018,34,Argentina,Necaxa,Italia,Desconocido,0,1.7,0.0,0,3,False,Apertura 2019 (Liga MX); Copa MX 2019-20,1,neutro,Sin datos suficientes,Comprado por 1.7me. salio sin coste a burgos cf
Édson Gutiérrez,2018,22,México,Celaya,México,Desconocido,0,0.0,0.0,0,7,False,Apertura 2019 (Liga MX); Copa MX 2019-20; Concachampions 2021,2,exitoso,"Gano Apertura 2019 (Liga MX), llego libre (7 anios)",Salio sin coste a santos laguna
Ángel Zaldívar,2018,24,México,Chivas,México,Desconocido,0,0.0,0.0,0,2,False,Apertura 2019 (Liga MX); Copa MX 2019-20,1,neutro,Retorno de cesion (no es fichaje real),Salio sin coste a chivas
Johan Vásquez,2018,19,México,Cimarrones,México,Desconocido,0,0.0,3.5,0,2,False,Apertura 2019 (Liga MX); Copa MX 2019-20,1,neutro,Retorno de cesion (no es fichaje real),Vendido por 3.5me a pumas unam
Carlos Rodríguez,2018,21,México,Monterrey U19,México,Desconocido,0,0.0,2.2,0,4,False,Apertura 2019 (Liga MX); Copa MX 2019-20; Concachampions 2021,2,exitoso,"Llego libre, vendido por 2.2ME",Vendido por 2.2me a cruz azul
Édson Reséndez,2018,22,México,Raya2,México,Desconocido,0,0.0,0.0,0,4,False,Apertura 2019 (Liga MX); Copa MX 2019-20; Concachampions 2021,2,exitoso,"Gano Apertura 2019 (Liga MX), llego libre (4 anios)",Salio sin coste a raya2
Eric Cantú,2018,19,México,Monterrey U19,México,Desconocido,0,0.0,0.0,0,4,False,Apertura 2019 (Liga MX); Copa MX 2019-20; Concachampions 2021,2,exitoso,"Gano Apertura 2019 (Liga MX), llego libre (4 anios)",Salio sin coste a san luis
