nombre,jugador,club,equipo,liga,posicion,perfil_natural,edad,nacionalidad,minutos,salario_meur,salario_min_meur,salario_max_meur,valor_mercado_meur,contrato_hasta,goles_90,xg_90,xa_90,tiros_90,asistencias_90,pases_clave_90,regates_completados_90,carreras_progresivas_90,pases_completados_pct,pases_progresivos_90,entradas_90,intercepciones_90,recuperaciones_90,duelos_ganados_pct,duelos_aereos_ganados_pct,despejes_90,paradas_pct,paradas_90,centros_completados_pct,tiros_area_90,conversion_pct,nombre_completo,nacionalidad_nombre,segunda_nacionalidad,lugar_nacimiento,dorsal_opta,fecha_inicio_club,fecha_fin_club,activo_en_club,posicion_opta,tirador_lejano_medalla,tirador_lejano_pts,cabeceador_medalla,cabeceador_pts,recuperador_puro_medalla,recuperador_puro_pts,presionador_alto_medalla,presionador_alto_pts,medallas,g_menos_xg_90,lado,progresor_pts,progresor_medalla,paradon_pts,paradon_medalla,diamante_medalla,diamante_pts
,Santiago Mele,,,,Portero,,28,Uruguay,0,0.56,0.504,0.616,1.7,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,0,,0,,0,,0,,0.0,Centro,0.0,,0.0,,,0
L. Cárdenas,Luis Cardenas,CF Monterrey,CF Monterrey,Liga MX,Portero,Shot-stopper,32,Mexico,810,0.33,0.297,0.363,0.44,,0.0,0.0,0.01,0.0,0.0,0.11,0.0,14.33,0.0,14.33,0.0,0.11,10.0,100.0,100.0,1.33,67.6,2.78,0.0,0.0,0.0,Luis Alberto Cárdenas López,Mexico,,Ahome,22.0,2019-01-01Z,,yes,Goalkeeper,,0,,0,,0,,0,,0.0,Centro,27.0,,27.0,,,0
,Kevin Cuneo,,,,Portero,,21,Mexico,0,0.01,0.009,0.011,0.02,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,0,,0,,0,,0,,0.0,Centro,0.0,,0.0,,,0
,Santiago Perez-Meraz,,,,Portero,,22,Mexico,0,0.01,0.009,0.011,0.03,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,0,,0,,0,,0,,0.0,Centro,0.0,,0.0,,,0
R. Chávez,Ricardo Chavez,CF Monterrey,CF Monterrey,Liga MX,Lateral,Lateral ofensivo,31,Mexico,1262,0.59,0.531,0.649,1.3,,0.14,0.34,0.13,0.78,0.07,1.28,0.29,20.32,0.0,20.32,2.21,0.71,2.71,56.9,59.6,2.78,0.0,0.0,26.4,1.71,18.2,Ricardo Saucedo Chávez Soto,Mexico,,Ciudad Victoria,2.0,2025-01-09Z,2025-01-09Z,yes,Defender,,10,BRONCE,43,BRONCE,47,BRONCE,30,🥉CAB 🥉REC 🥉PRE 🥇PRO,-0.2,Derecho,85.0,ORO,0.0,,,0
É. Aguirre,Erick Aguirre,CF Monterrey,CF Monterrey,Liga MX,Lateral,Extremo creativo,29,Mexico,445,0.61,0.549,0.671,1.2,,0.0,1.82,0.08,0.4,0.2,0.81,0.61,23.26,0.0,23.26,1.82,2.22,4.45,56.1,61.5,1.82,0.0,0.0,33.3,1.21,0.0,Érick Germáin Aguirre Tafolla,Mexico,,La Ruana,14.0,2021-07-01Z,,yes,Midfielder,BRONCE,37,PLATA,60,,0,,0,🥉TL 🥈CAB 🥇PRO,-1.82,Derecho,94.0,ORO,0.0,,,0
G. Arteaga,Gerardo Arteaga,CF Monterrey,CF Monterrey,Liga MX,Lateral,Lateral ofensivo,27,Mexico,1501,0.85,0.765,0.935,2.5,,0.06,0.22,0.07,0.42,0.06,0.72,0.66,17.81,0.0,17.81,1.14,0.9,3.3,53.1,76.0,1.62,0.0,0.0,25.9,1.26,14.3,Gerardo Daniel Arteaga Zamora,Mexico,,Zapopan,3.0,2024-01-29Z,,yes,Defender,,10,,20,BRONCE,47,BRONCE,30,🥉REC 🥉PRE 🥈PRO,-0.16,Izquierdo,71.0,PLATA,0.0,,,0
,Alonso Aceves,,,,Lateral,,25,Mexico,0,0.63,0.567,0.693,1.9,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,0,,0,,0,,0,,0.0,Izquierdo,0.0,,0.0,,,0
L. Reyes,Luis Reyes,CF Monterrey,CF Monterrey,Liga MX,Lateral,Lateral ofensivo,35,Mexico,389,0.33,0.297,0.363,0.35,,0.0,0.23,0.12,0.23,0.0,1.16,0.46,24.06,0.0,24.06,1.85,1.16,3.24,63.9,87.5,2.08,0.0,0.0,33.3,0.93,0.0,Luis Reyes,Mexico,,Monterrey,21.0,2025-01-02Z,2025-01-02Z,yes,Defender,,13,,0,,0,,0,🥇PRO,-0.23,Izquierdo,97.0,ORO,0.0,,,0
V. Guzmán,Victor Guzman,CF Monterrey,CF Monterrey,Liga MX,Defensa central,Central dominante defensivo,24,Mexico,736,0.59,0.531,0.649,7.1,,0.0,0.16,0.01,0.12,0.0,0.12,0.12,18.34,0.0,18.34,0.86,1.59,2.57,64.7,60.0,2.45,0.0,0.0,0.0,0.86,0.0,Víctor Andrés Guzmán Olmedo,Mexico,,Tijuana,4.0,2023-01-11Z,,yes,Defender,,0,,0,ORO,80,,20,🥇REC 🥉PRO,-0.16,Centro,63.0,BRONCE,0.0,,,0
C. Salcedo,Carlos Salcedo,CF Monterrey,CF Monterrey,Liga MX,Defensa central,Central dominante defensivo,32,Mexico,56,0.55,0.495,0.605,1.0,,0.0,0.42,0.0,0.0,0.0,0.0,0.0,30.54,0.0,30.54,1.61,0.0,4.82,100.0,100.0,4.82,0.0,0.0,0.0,0.0,0.0,Carlos Joel Salcedo Hernández,Mexico,,Guadalajara,13.0,2025-01-19Z,2024-07-22Z,yes,Defender,,0,BRONCE,43,,0,,0,🥉CAB 🥇PRO,-0.42,Centro,100.0,ORO,0.0,,,0
,Gustavo Sanchez,,,,Defensa central,,26,Mexico,0,0.4,0.36,0.44,1.2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,0,,0,,0,,0,,0.0,Centro,0.0,,0.0,,,0
S. Medina,Stefan Medina,CF Monterrey,CF Monterrey,Liga MX,Defensa central,Central dominante defensivo,33,Colombia,1652,0.59,0.531,0.649,1.2,,0.0,0.14,0.01,0.33,0.11,0.11,0.05,20.97,0.0,20.97,0.82,1.47,2.78,62.7,71.7,5.01,0.0,0.0,20.0,0.71,0.0,John Stefan Medina Ramírez,Colombia,,Antioquia,33.0,2017-07-01Z,,yes,Defender,,0,,20,PLATA,57,,10,🥈REC 🥈PRO,-0.14,Centro,83.0,PLATA,0.0,,,0
,Cesar Bustos,,,,Defensa central,,20,Mexico,0,0.17,0.153,0.187,0.52,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,0,,0,,0,,0,,0.0,Centro,0.0,,0.0,,,0
,Diego Garcia,,,,Defensa central,,19,Mexico,0,0.01,0.009,0.011,0.03,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,0,,0,,0,,0,,0.0,Centro,0.0,,0.0,,,0
F. Ambríz,Fidel Ambriz,CF Monterrey,CF Monterrey,Liga MX,Mediocentro,Mediocentro mixto,23,Mexico,662,0.61,0.549,0.671,5.5,,0.14,0.21,0.01,0.68,0.0,0.14,0.41,15.63,0.0,15.63,1.09,1.36,3.53,49.3,45.5,2.72,0.0,0.0,0.0,0.54,20.0,Fidel Daniel Ambríz González,Mexico,,León,5.0,2024-08-29Z,,yes,Midfielder,,0,,10,PLATA,70,PLATA,73,🥈REC 🥈PRE 🥈PRO,-0.07,Centro,77.0,PLATA,0.0,,,0
Óliver Torres,Oliver Torres,CF Monterrey,CF Monterrey,Liga MX,Mediocentro,Mediocentro organizador,31,Spain,1049,1.11,0.999,1.221,2.7,,0.26,0.36,0.18,0.77,0.09,1.8,0.77,16.13,0.0,16.13,0.86,1.12,6.26,43.4,14.3,0.43,0.0,0.0,20.0,2.06,33.3,Óliver Torres Muñoz,Spain,,Navalmoral de la Mata,8.0,2024-06-27Z,,yes,Midfielder,,0,,13,PLATA,60,ORO,90,🥈REC 🥇PRE 🥈PRO,-0.1,Centro,81.0,PLATA,0.0,,,0
